,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
300,Tomás Bastos,Chapecoense,3028,8,5,39.69,175,53.93,21.67,2.33,5,0.24,1,0.03,78,38.46,10.256,38.78,43.9,14.29,0.93,60.0,29.93,80.86,69.2,96.43,83.87,86.8,53.13,17.65,66.88,49.23,36.36,80.63
301,Pedro Henrique,Radomiak Radom,2718,13,3,37.9,188,51.19,44.04,1.34,12,0.54,4,0.13,73,38.36,17.808,57.14,33.33,66.67,1.07,46.88,28.71,72.46,60.0,83.96,76.09,73.22,62.5,42.86,75.68,33.33,42.86,65.0
302,William Barbio,Londrina,2263,7,1,35.73,176,58.67,20.87,1.73,6,0.18,3,0.12,34,44.12,20.588,26.32,25.0,28.57,1.81,59.09,37.98,82.1,64.93,94.64,84.58,84.41,75.0,33.33,77.78,45.83,64.29,83.52
303,Bruno Baio,Retrô,874,6,1,40.76,197,29.41,49.41,1.26,2,0.58,1,0.11,22,45.45,22.727,40.0,33.33,50.0,1.03,33.33,37.14,73.37,50.0,88.0,76.09,75.64,50.0,60.0,78.57,58.82,0.0,69.57
304,Júnior Pirambu,Campinense,621,1,0,26.45,183,30.77,27.69,0.91,1,0.33,1,0.15,10,20.0,10.0,0.0,0.0,0.0,1.07,57.14,29.09,76.79,66.67,90.0,61.54,80.77,50.0,0.0,85.71,0.0,0.0,66.67
305,Rodrigo Rodrigues,ES Tunis,3751,15,3,35.66,191,49.46,37.07,1.43,11,0.43,2,0.05,89,40.45,16.854,23.08,75.0,0.0,1.31,52.94,33.91,78.23,60.19,90.96,71.55,80.68,38.46,28.57,65.31,40.74,50.0,65.96
306,Geovane Magno,Viettel,836,2,1,41.76,0,65.0,50.0,2.05,2,0.19,0,0.0,26,34.62,7.692,16.67,0.0,33.33,3.66,50.0,39.62,79.57,65.45,96.08,85.19,83.1,56.25,40.0,70.37,56.25,40.0,84.62
307,Rangel,Kolos Kovalivka,406,3,0,34.13,185,68.0,31.43,3.33,2,0.56,1,0.22,13,53.85,23.077,25.0,0.0,25.0,0.67,33.33,18.6,85.34,66.67,100.0,94.74,87.96,75.0,0.0,80.0,100.0,0.0,63.64
308,Jenison,Grêmio Novorizontino,1805,1,3,36.45,186,60.32,37.14,2.14,1,0.19,1,0.05,35,22.86,2.857,38.46,50.0,20.0,1.5,56.67,26.92,74.3,61.9,85.94,70.0,77.01,45.45,0.0,72.41,52.63,0.0,67.65
309,Renan Gorne,Portuguesa,1094,4,3,34.57,182,63.64,33.68,1.15,4,0.33,2,0.16,32,40.63,12.5,71.43,100.0,50.0,1.73,23.81,25.49,82.63,68.0,87.5,90.24,83.44,66.67,0.0,66.67,85.71,0.0,64.29
310,Tiago Reis,Botafogo PB,452,1,1,25.93,184,38.89,11.11,0.83,1,0.14,0,0.0,6,50.0,16.667,0.0,0.0,0.0,1.25,66.67,34.62,70.69,46.15,93.75,78.57,71.7,60.0,0.0,57.14,0.0,0.0,66.67
311,Elivelto,Anagennisi Karditsas,2128,4,1,45.16,170,64.23,24.32,2.56,4,0.14,0,0.0,28,53.57,14.286,36.92,39.22,25.0,7.6,52.91,42.42,77.55,65.05,91.63,78.72,83.18,54.17,47.62,77.91,51.32,47.83,75.65
312,Jael,Avaí,1721,7,0,39.47,186,48.0,42.74,0.94,6,0.27,4,0.21,28,39.29,25.0,40.0,33.33,50.0,0.78,46.67,36.13,68.75,48.05,87.04,74.03,71.2,44.44,30.0,46.15,34.48,25.0,86.36
313,Ciro,Persib,2896,12,3,44.3,175,62.5,40.58,1.27,12,0.21,0,0.0,83,43.37,14.458,26.27,3.7,32.97,7.15,49.57,44.64,60.75,58.09,86.21,53.3,71.98,38.46,36.36,48.98,38.37,28.57,87.34
314,Diego Maurício,Odisha,2272,18,6,34.86,183,63.79,27.59,1.21,12,0.6,1,0.04,80,42.5,18.75,19.05,11.11,25.0,4.05,53.61,31.89,74.63,58.06,92.38,80.0,78.34,52.17,44.44,69.09,55.88,41.67,76.92
315,O. Batista Meier,Verl,836,4,4,37.23,178,52.0,38.46,2.69,4,0.21,1,0.11,14,57.14,28.571,38.1,50.0,35.29,4.52,42.86,33.02,78.06,66.22,90.48,78.82,83.13,46.67,28.57,70.59,50.0,25.0,76.0
316,Marcus Vinicius,Atlético Huila,2740,12,1,40.71,188,51.88,36.11,2.43,10,0.2,2,0.07,74,39.19,16.216,38.46,37.5,40.0,4.83,52.38,38.82,80.42,68.33,87.65,83.26,84.15,50.0,27.78,66.23,49.12,35.0,76.86
317,Thiago Bezerra,Al Orubah,2983,19,2,39.12,178,49.33,39.49,0.93,14,0.51,1,0.03,75,40.0,24.0,33.33,40.0,28.57,3.67,45.79,36.7,77.86,56.9,89.43,81.62,80.99,74.36,40.0,56.41,68.0,28.57,78.95
318,Dudu,JEF United,1661,13,4,41.83,180,62.5,28.46,2.28,11,0.4,2,0.11,52,40.38,25.0,32.35,38.1,25.0,3.52,61.54,46.55,69.53,57.73,86.87,68.1,74.4,43.48,25.0,51.35,44.44,20.0,65.96
319,Rodrigo Da Costa,Memphis 901,3361,14,5,39.97,183,62.22,31.41,2.14,13,0.3,1,0.03,70,42.86,18.571,32.56,27.59,38.46,2.33,49.41,38.21,72.8,54.32,91.2,72.3,76.68,41.27,35.42,53.98,53.41,34.43,65.83
320,Gabriel,Mirassol,3883,6,3,44.79,178,55.63,32.18,2.09,4,0.13,0,0.0,49,30.61,12.245,48.0,47.06,48.78,1.6,56.52,46.67,84.86,75.7,95.1,87.24,88.48,65.38,31.25,77.08,56.03,47.73,80.06
321,Vinícius Araújo,Imabari,1284,0,0,37.35,175,54.0,31.11,1.75,0,0.6,0,0.0,34,41.18,0.0,18.18,20.0,16.67,2.38,61.76,38.26,71.31,53.06,82.35,75.61,74.41,68.18,30.0,67.86,36.0,27.27,69.23
322,Pedro Lucas,Olimpija,2968,6,2,39.82,185,48.21,43.4,2.23,6,0.22,3,0.09,63,44.44,9.524,31.82,100.0,30.0,1.02,63.64,34.32,79.3,66.44,92.12,77.01,81.68,52.94,36.36,69.57,51.28,36.36,66.67
323,Sandro Lima,Manisa F.K.,1634,6,2,29.38,186,29.17,31.37,1.49,6,0.31,0,0.0,38,28.95,15.789,80.0,66.67,100.0,1.87,26.47,28.47,82.44,61.43,91.3,86.33,84.14,43.75,25.0,63.64,52.17,14.29,67.74
324,Samuel Rosa,Prachuap,3034,17,6,45.0,186,64.65,47.59,1.31,13,0.5,5,0.15,83,38.55,20.482,39.34,40.91,35.29,5.58,53.72,42.11,76.32,71.43,91.02,68.1,82.16,60.53,28.57,70.59,52.56,41.18,88.16
325,Nicolas,Ceará,3333,13,1,37.77,180,57.63,42.99,1.43,12,0.33,4,0.11,55,45.45,21.818,50.0,66.67,0.0,0.73,38.46,28.32,79.96,66.27,89.29,81.76,80.4,73.33,25.0,80.95,56.52,50.0,60.0
326,Lucca,Lamphun Warrior,1742,5,1,40.8,178,56.16,29.73,2.07,4,0.19,1,0.05,27,33.33,18.519,25.0,27.27,25.0,2.32,53.33,40.67,74.62,58.49,84.55,76.0,79.45,50.0,0.0,60.71,60.0,0.0,70.97
327,Alisson Farias,Chapecoense,2520,4,0,43.8,171,60.49,15.79,1.71,3,0.16,1,0.04,52,26.92,7.692,40.0,47.06,15.38,4.25,54.62,46.86,80.89,73.27,93.57,82.66,86.02,70.77,52.94,75.82,59.76,45.0,89.92
328,Brenner,Khon Kaen United,1291,5,4,37.97,182,40.0,31.58,0.91,4,0.44,2,0.14,48,45.83,10.417,22.5,21.05,25.0,5.86,57.14,38.18,76.36,63.33,87.8,81.31,85.32,71.43,25.0,67.57,32.14,57.14,90.63
329,Hêndrio Araújo,Nam Dinh,2265,8,2,42.45,181,55.1,41.54,2.34,6,0.23,1,0.04,59,33.9,13.559,28.0,32.0,24.0,5.4,50.0,39.69,80.0,73.51,94.94,77.25,86.09,47.83,51.61,69.23,56.04,48.65,87.26
330,Rafaelson,Nam Dinh,2462,16,0,43.34,185,50.79,51.08,1.13,13,0.49,4,0.15,112,33.93,14.286,34.48,50.0,34.62,3.98,54.13,41.07,74.88,62.16,84.62,81.22,79.58,48.21,50.0,70.59,57.38,39.29,80.9
331,Herlison Caion,Ha Noi,2593,16,5,35.18,184,39.06,41.43,0.9,13,0.46,6,0.21,85,34.12,18.824,26.32,37.5,18.18,3.02,45.98,29.96,68.44,52.87,87.27,66.32,71.35,44.44,25.0,63.04,48.57,26.67,82.5
332,Anderson Ceará,Santa Cruz,927,1,2,48.13,173,50.0,27.27,2.02,1,0.12,0,0.0,25,28.0,4.0,25.0,11.11,66.67,4.94,63.64,50.98,82.22,72.0,92.73,84.85,85.86,68.57,40.0,75.81,50.0,53.85,82.69
333,Jonathas,Inter de Limeira,710,1,0,37.67,192,63.16,43.43,1.65,1,0.25,1,0.13,13,38.46,7.692,0.0,0.0,0.0,1.77,21.43,23.38,75.81,60.0,81.82,71.43,76.47,100.0,0.0,50.0,20.0,0.0,71.43
334,Daniel Bahia,Plaza Colonia,471,0,1,32.73,185,66.67,36.73,1.34,0,0.21,0,0.0,6,16.67,0.0,33.33,50.0,0.0,2.48,23.08,14.04,63.33,60.71,93.75,67.86,65.43,57.14,66.67,50.0,44.44,66.67,69.23
335,Robinho,CSA,1260,2,0,35.91,176,50.0,39.34,2.16,1,0.16,1,0.07,24,29.17,4.167,17.65,40.0,8.33,4.25,38.6,35.51,80.65,75.76,97.1,71.43,85.71,80.0,33.33,76.92,46.15,50.0,77.27
336,Júnior Dutra,Figueirense,582,1,0,27.52,183,61.11,18.64,2.2,0,0.19,0,0.0,7,42.86,0.0,22.22,33.33,16.67,2.93,37.5,18.87,73.17,65.52,96.55,62.86,76.64,87.5,66.67,71.43,30.0,66.67,77.78
338,Jonathan Balotelli,Kedah,975,4,0,39.85,184,69.23,20.9,1.29,4,0.53,1,0.09,35,42.86,11.429,11.76,25.0,8.33,5.08,63.64,42.64,74.6,62.26,85.96,78.95,79.82,66.67,20.0,79.17,56.52,0.0,78.57
339,Yuri Mamute,Hai Phong,1190,8,1,37.5,177,39.29,25.0,1.35,5,0.57,3,0.29,29,44.83,17.241,100.0,0.0,0.0,3.28,58.82,37.16,79.1,60.71,91.53,83.72,79.43,0.0,0.0,71.43,77.78,0.0,57.14
340,Ibson,NorthEast United,1760,4,1,35.74,179,64.44,24.07,1.48,4,0.29,1,0.05,44,36.36,9.091,19.05,12.5,23.08,3.73,45.21,34.41,80.0,72.6,94.2,78.48,86.35,46.15,50.0,76.92,55.0,50.0,72.41
341,Felipe Amorim,Hyderabad FC,2052,8,3,34.21,176,50.55,24.66,1.84,8,0.36,4,0.18,71,45.07,11.268,34.69,25.0,44.0,3.99,48.35,34.69,70.92,58.59,90.63,65.65,76.05,57.89,32.0,60.71,52.63,34.48,78.57
344,Pablo Dyego,Ponte Preta,2574,9,3,42.95,174,61.19,40.66,2.64,7,0.41,1,0.04,73,43.84,12.329,30.19,31.43,26.67,4.02,52.25,39.14,77.39,72.58,90.58,72.53,82.82,62.86,50.0,81.63,42.55,50.0,74.68
345,Fernandinho,Marsaxlokk,1069,4,4,43.33,172,58.06,15.79,1.77,3,0.35,0,0.0,28,35.71,14.286,55.56,80.0,25.0,2.19,57.69,44.44,83.2,79.49,91.78,85.71,85.25,70.59,75.0,82.28,62.07,71.43,86.11
346,Thiago Santos,Krasava Ypsona,1331,6,2,44.04,179,58.49,41.38,2.03,6,0.19,0,0.0,13,76.92,46.154,47.62,43.75,75.0,1.35,50.0,39.76,84.1,67.48,92.86,85.14,86.94,46.67,25.0,68.09,57.14,16.67,71.19
347,Chrigor,Portuguesa,1982,7,2,37.89,183,63.86,35.71,2.18,4,0.36,1,0.05,47,46.81,14.894,19.44,19.23,20.0,4.63,50.0,33.6,63.69,48.45,84.62,65.77,73.83,32.35,25.0,45.83,31.82,25.0,73.47
348,Gustavo Santos,Rheindorf Altach,2297,10,4,41.49,177,42.48,40.37,2.12,8,0.39,3,0.12,68,45.59,14.706,34.88,36.36,35.0,5.02,58.59,42.89,66.57,58.67,85.45,60.31,72.24,47.06,33.33,59.52,61.54,28.57,85.71
349,Júnior Todinho,CSA,1918,6,2,34.42,182,52.38,36.96,2.53,4,0.33,1,0.05,40,52.5,15.0,30.0,50.0,20.0,2.21,46.81,28.57,76.62,63.93,88.52,80.36,78.16,57.89,60.0,69.57,66.67,58.33,65.15
350,Marcelo Moreno,Independiente del Valle,1534,5,0,32.58,187,46.67,34.04,1.13,5,0.42,1,0.06,49,34.69,10.204,40.0,33.33,44.44,0.95,18.75,24.32,77.66,54.55,90.16,83.05,81.76,33.33,0.0,57.89,40.0,0.0,75.0
351,Sassá,Amazonas,2608,16,0,30.5,174,41.33,20.51,0.49,13,0.42,3,0.11,66,45.45,24.242,11.11,16.67,0.0,2.01,59.65,31.15,80.69,63.64,93.67,80.33,83.33,100.0,0.0,66.67,60.0,0.0,69.23
352,Patrick,Dečić,3346,10,2,30.93,183,55.74,28.34,0.97,10,0.31,1,0.03,56,42.86,17.857,16.67,0.0,22.22,1.96,43.84,28.62,78.0,58.11,92.31,68.66,80.4,59.26,33.33,63.64,35.71,33.33,62.07
353,Léo Tilica,Al Najma,1851,2,1,44.19,172,58.93,20.83,3.21,1,0.17,0,0.0,23,26.09,8.696,30.56,40.0,26.09,3.35,59.42,44.7,84.17,74.01,96.9,88.03,88.96,48.65,25.0,72.83,60.87,33.33,81.52
354,Lucão do Break,Hai Phong,2491,14,5,39.18,184,55.43,50.88,1.63,14,0.45,4,0.14,98,39.8,14.286,27.27,25.0,28.57,3.22,43.82,32.72,73.55,46.43,88.19,77.7,76.51,52.38,40.0,68.49,40.0,25.0,80.39
355,Miguel Bianconi,Wilstermann,1131,2,0,44.17,191,57.14,43.48,1.19,1,0.15,0,0.0,23,34.78,4.348,37.5,0.0,42.86,2.07,65.38,44.25,81.42,59.52,88.37,84.75,84.3,33.33,0.0,58.33,33.33,0.0,71.43
356,Lucão,Al Khor,684,2,0,43.1,189,45.45,50.57,1.21,2,0.44,0,0.0,16,56.25,12.5,28.57,0.0,28.57,2.27,46.67,30.23,66.27,54.17,82.35,69.23,70.27,50.0,0.0,71.43,28.57,0.0,66.67
357,Conrado,FLC Thanh Hoa,1578,6,2,36.44,178,53.66,41.3,1.71,5,0.5,0,0.0,55,43.64,10.909,26.09,30.77,22.22,5.08,57.3,35.94,78.03,54.55,92.63,78.16,82.8,66.67,66.67,61.54,39.13,25.0,84.38
358,Bruno Mezenga,Santos,1466,8,0,38.13,185,48.48,41.38,1.47,8,0.26,4,0.25,40,50.0,20.0,40.0,50.0,33.33,1.04,47.06,24.39,72.57,50.85,90.14,72.58,74.77,53.33,37.5,60.87,40.0,28.57,47.37
359,Jorge Eduardo,Visakha,690,1,0,36.48,179,45.45,20.0,2.35,1,0.27,0,0.0,21,52.38,4.762,33.33,25.0,36.36,4.7,58.33,39.08,73.73,70.15,87.04,70.83,77.84,50.0,20.0,88.0,46.15,40.0,77.5
360,Rodrigo Maranhão,Nakhon Si United,3229,15,4,44.14,179,63.25,28.36,1.92,11,0.39,1,0.03,110,43.64,13.636,36.76,42.42,31.43,5.27,66.14,44.32,77.94,69.68,91.4,78.4,83.36,62.67,55.0,68.54,54.88,39.13,80.88
361,Thuram,Pendikspor,2770,11,1,33.14,183,50.0,28.87,1.2,11,0.31,5,0.16,58,46.55,18.966,16.67,0.0,18.75,2.21,44.12,30.22,79.97,61.02,87.34,81.46,81.61,72.22,14.29,65.38,45.83,12.5,74.0
362,Diego Carioca,Kolos Kovalivka,893,1,0,41.06,177,68.09,25.0,3.12,0,0.19,0,0.0,19,26.32,5.263,6.67,8.33,0.0,5.24,34.62,36.81,77.73,61.54,98.18,72.73,84.85,56.25,50.0,66.67,31.58,0.0,61.11
363,Gabriel Bispo,KuPS,2198,4,1,38.39,177,64.42,32.81,3.07,4,0.32,1,0.04,70,28.57,5.714,30.0,25.0,31.25,1.47,52.78,30.3,81.85,68.09,90.48,79.14,85.21,58.62,20.0,74.0,54.17,42.86,67.21
364,Tardeli,Port FC,2903,15,3,42.01,185,56.38,40.46,2.4,10,0.48,3,0.1,105,37.14,12.381,15.0,14.29,16.67,3.07,50.0,39.86,69.26,54.19,90.23,69.32,75.24,45.0,26.32,52.27,50.0,27.78,68.6
365,Jackson,İstanbulspor,2087,7,3,41.81,178,52.29,27.78,2.22,2,0.4,0,0.0,45,42.22,15.556,25.53,26.67,23.53,3.99,52.27,44.0,76.76,65.6,92.0,76.56,82.38,52.31,40.0,64.76,44.71,36.36,73.79
366,Léo Gamalho,Vitória,2476,12,2,40.5,188,50.0,42.69,0.97,8,0.41,4,0.15,55,38.18,21.818,53.85,75.0,44.44,0.67,44.44,38.79,84.74,77.45,93.08,80.87,86.76,61.11,42.86,78.57,62.96,33.33,78.0
368,Luiz Henrique,Brusque,578,0,1,48.48,171,61.36,46.67,3.27,0,0.08,0,0.0,13,23.08,0.0,22.22,100.0,12.5,2.8,50.0,45.0,87.12,79.07,98.41,91.09,90.53,72.73,100.0,89.29,30.77,60.0,82.98
370,Anselmo,Al Wehda,3440,6,1,44.11,182,53.25,38.39,3.24,6,0.19,1,0.03,70,30.0,8.571,30.77,33.33,27.27,4.21,55.28,42.06,84.06,69.15,96.0,88.79,88.72,57.26,41.38,66.84,49.23,35.71,79.02
371,Diego Souza,Sport Recife,738,3,0,33.77,186,40.0,40.0,0.85,3,0.22,2,0.24,11,54.55,27.273,40.0,66.67,0.0,1.22,40.0,26.32,77.39,62.0,90.48,86.21,79.57,50.0,28.57,72.41,52.63,29.41,78.95
372,Iago Dias,Londrina,1972,2,1,37.75,175,51.25,25.47,1.55,2,0.16,1,0.05,39,20.51,5.128,20.37,20.0,20.69,3.79,62.65,42.49,72.73,59.43,95.83,71.64,83.33,44.83,44.44,71.11,36.36,27.27,70.0
373,Zé Vitor,Londrina,1411,2,0,32.94,182,64.29,35.42,0.83,2,0.29,0,0.0,34,29.41,5.882,20.0,33.33,0.0,0.7,45.45,25.96,75.0,47.06,89.06,86.05,76.92,66.67,66.67,58.82,41.67,75.0,66.67
374,Jonny,Hamrun Spartans,1706,4,2,41.46,0,55.65,38.46,2.43,3,0.2,1,0.06,41,34.15,7.317,28.89,16.67,33.33,5.74,43.27,35.53,68.88,48.53,83.53,75.0,74.84,66.67,12.5,66.67,45.65,0.0,81.13
375,Jô Batista,Chaves,556,2,0,31.87,192,42.86,33.8,3.72,2,0.56,0,0.0,17,47.06,11.765,0.0,0.0,0.0,3.88,37.5,28.57,71.43,30.0,94.74,70.0,73.53,0.0,0.0,50.0,100.0,0.0,66.67
376,Dudu,Nacional,2798,6,3,36.89,179,53.64,31.33,2.64,3,0.32,0,0.0,48,47.92,12.5,30.77,25.0,33.33,3.18,49.49,35.23,83.5,70.79,92.66,85.19,86.43,88.89,0.0,73.08,43.48,0.0,73.33
377,Salatiel,Botafogo SP,2757,8,2,30.12,187,52.59,23.56,1.6,6,0.26,1,0.03,47,34.04,17.021,15.79,25.0,10.0,2.02,38.71,27.25,74.58,59.76,85.55,71.77,76.79,75.0,16.67,65.91,42.86,11.11,72.22
378,Juninho Rocha,Gimpo Citizen,1546,4,2,41.75,170,60.71,22.86,1.98,4,0.18,0,0.0,37,40.54,10.811,21.74,12.5,23.68,9.2,58.23,45.62,67.53,60.29,84.06,61.11,76.68,44.44,20.0,85.19,34.15,16.67,66.0
379,Crislan,Bhayangkara F.C.,2517,11,1,40.03,190,50.0,50.64,1.9,11,0.3,4,0.14,65,41.54,16.923,27.27,30.0,0.0,1.22,35.29,27.69,68.96,56.04,89.74,66.98,72.21,40.91,0.0,52.54,43.48,0.0,73.68
380,Diego Jardel,Londrina,1390,1,0,41.89,180,41.33,28.57,1.73,1,0.14,1,0.07,24,29.17,4.167,15.38,11.11,25.0,4.08,55.93,43.62,73.66,63.79,92.19,72.18,81.45,39.29,42.86,66.15,18.75,18.18,68.89
381,Alex Sandro,Tombense,2008,9,2,46.78,175,65.33,26.19,1.34,9,0.39,1,0.04,62,33.87,14.516,40.0,30.77,40.0,3.94,51.14,43.62,80.2,67.57,95.4,78.57,84.59,61.29,45.45,83.33,47.37,33.33,92.31
382,Gabriel Santos,Sport Recife,1443,5,1,33.69,185,44.33,33.33,1.62,5,0.19,2,0.12,31,38.71,16.129,14.29,0.0,18.52,4.3,42.03,30.41,68.2,64.15,92.42,60.44,76.15,77.78,25.0,65.52,24.0,50.0,73.68
383,Matheus Lucas,Pouso Alegre,1500,4,2,37.38,180,50.85,29.46,1.36,4,0.49,1,0.06,51,35.29,7.843,0.0,0.0,0.0,3.03,53.06,40.0,77.63,62.5,93.48,80.0,82.41,66.67,100.0,75.0,20.0,100.0,66.67
384,Thomás,Gwangju,1962,3,2,52.3,180,57.14,13.33,1.65,3,0.1,0,0.0,27,40.74,11.111,34.88,40.0,30.43,5.87,71.09,59.68,84.0,75.53,96.0,83.59,88.84,64.29,25.0,83.33,53.33,0.0,87.04
385,Júnior Brandao,Madura United,1256,7,2,30.45,187,48.65,33.33,1.5,7,0.39,0,0.0,33,48.48,21.212,46.15,50.0,42.86,1.22,47.06,24.77,70.92,65.63,85.71,62.22,72.53,100.0,0.0,71.43,57.14,0.0,65.0
386,Zé Paulo,Hồng Lĩnh Hà Tĩnh,2326,6,2,45.4,189,56.16,51.52,2.17,4,0.17,2,0.08,38,28.95,15.789,21.43,25.0,22.22,4.22,55.96,42.69,79.91,62.56,95.16,86.15,82.89,63.49,64.71,64.42,45.95,33.33,84.78
387,P. Monteiro,Tirana,1572,7,1,40.88,177,63.04,26.67,1.6,7,0.38,0,0.0,41,51.22,17.073,23.4,27.27,14.29,4.87,60.0,40.7,70.45,55.71,89.23,61.9,77.57,50.0,42.86,45.83,26.0,50.0,70.73
388,Mirandinha,Paysandu,1105,1,2,42.29,179,51.43,34.62,1.95,1,0.25,0,0.0,41,26.83,2.439,34.62,31.82,50.0,7.41,50.55,41.45,69.35,57.45,82.35,71.7,77.63,22.22,0.0,57.14,68.42,0.0,65.71
389,Silvio,Renofa Yamaguchi,1906,6,4,39.73,184,53.45,45.8,2.46,4,0.41,0,0.0,65,32.31,9.231,28.0,12.5,35.29,4.25,51.11,37.18,74.19,62.64,93.62,71.43,77.26,73.33,77.78,55.81,44.44,63.64,82.98
390,Douglas Vieira,Sanfrecce Hiroshima,1532,7,1,34.45,189,53.57,38.22,1.35,5,0.43,1,0.06,42,38.1,16.667,19.23,25.0,14.29,2.76,44.68,29.14,67.89,54.32,81.71,62.28,71.8,60.0,38.46,42.86,52.38,46.15,68.29
391,Samuel,Oita Trinita,890,1,0,29.29,183,55.0,36.67,2.12,1,0.25,0,0.0,17,23.53,5.882,0.0,0.0,0.0,2.02,50.0,21.79,75.0,59.52,79.31,76.6,76.0,66.67,40.0,61.9,53.33,33.33,72.0
392,Paulo Josue,Kuala Lumpur City,3123,10,13,43.33,184,50.88,40.38,2.68,9,0.22,1,0.03,91,42.86,10.989,37.5,35.71,50.0,1.79,56.45,45.37,65.34,55.6,84.62,70.16,73.68,46.34,35.14,59.89,33.33,26.15,81.94
394,Liliu,Altos,643,3,1,35.29,181,57.14,27.59,0.98,3,0.39,1,0.14,15,53.33,20.0,14.29,0.0,50.0,2.1,53.33,36.07,69.9,63.16,85.19,70.97,74.19,66.67,0.0,66.67,57.14,0.0,66.67
396,Paulo Vyctor,Sirens,1410,5,4,47.87,0,65.71,40.0,2.05,2,0.23,1,0.07,29,37.93,13.793,23.53,25.0,25.0,2.8,51.22,45.11,76.23,57.14,89.06,73.21,81.73,36.11,28.57,56.41,37.5,22.22,62.96
397,Bruno Catanhede,FLC Thanh Hoa,1949,11,0,42.24,185,54.76,47.41,1.29,11,0.41,1,0.05,88,38.64,12.5,35.71,50.0,33.33,3.42,58.11,36.41,69.72,47.92,98.15,70.71,77.45,40.0,33.33,51.43,52.0,0.0,84.85
398,Cleiton Silva,East Bengal,2224,12,2,38.89,174,53.85,39.08,1.7,9,0.43,1,0.04,61,39.34,19.672,15.0,22.22,9.09,1.78,54.55,35.96,83.38,72.18,91.43,84.72,85.74,78.95,50.0,79.55,50.0,42.86,87.8
399,Ricardo Bueno,Confiança,1703,2,1,41.37,183,51.16,44.19,1.36,1,0.26,1,0.05,36,22.22,5.556,28.57,16.67,37.5,2.39,61.36,41.25,82.68,73.96,87.88,84.17,84.94,70.59,25.0,75.0,52.17,20.0,72.09
400,Joao Morelli,HFX Wanderers FC,487,4,1,34.69,180,40.0,41.67,2.59,3,0.46,0,0.0,12,50.0,33.333,40.0,0.0,40.0,4.07,54.55,31.67,77.95,59.46,94.74,77.78,79.28,81.82,0.0,76.47,60.0,75.0,72.73
401,Rodrigo Dias,Da Nang,1392,7,0,44.47,190,61.54,54.18,1.49,5,0.32,1,0.06,40,42.5,17.5,33.33,0.0,20.0,1.36,38.1,24.74,74.83,56.06,86.59,80.77,76.06,62.5,40.0,62.86,57.14,33.33,80.0
402,Paulo Sérgio,ABC,1597,6,0,34.59,181,54.55,24.71,1.97,4,0.29,1,0.06,32,34.38,18.75,25.0,33.33,20.0,1.07,73.68,40.16,77.58,57.75,88.24,78.72,79.4,59.09,12.5,69.05,53.85,11.11,58.33
403,Gustavo Marmentini,Pyunik,919,1,0,37.19,179,56.67,30.56,1.76,1,0.14,0,0.0,17,41.18,5.882,41.67,66.67,33.33,2.55,30.77,28.7,77.58,59.62,87.1,83.08,80.0,66.67,33.33,64.0,57.89,66.67,65.63
404,Renatinho,Botafogo PB,1128,1,5,46.67,172,56.14,23.81,2.73,0,0.21,0,0.0,21,33.33,4.762,21.43,60.0,0.0,3.37,48.65,41.38,76.33,68.83,90.48,79.25,80.75,57.14,25.0,71.7,38.89,28.57,75.0
405,Dorielton,Bashundhara Kings,1476,14,2,49.78,185,56.0,53.01,1.57,11,0.54,1,0.07,39,58.97,28.205,36.36,37.5,100.0,2.39,71.88,48.86,83.56,57.5,94.34,82.72,86.08,62.5,33.33,76.19,46.15,50.0,58.82
406,Yuri Jonathan,Jeju United,2176,10,5,38.95,185,50.91,45.34,1.74,8,0.43,2,0.08,51,43.14,19.608,33.33,40.0,28.57,1.2,58.62,30.0,70.95,46.75,86.84,68.75,72.6,53.85,33.33,52.17,30.0,25.0,57.58
407,Careca,Gangneung City,510,2,1,52.69,184,63.64,18.18,1.2,2,0.37,0,0.0,21,38.1,9.524,20.0,20.0,0.0,4.8,54.17,56.14,82.12,73.33,92.31,85.19,85.0,71.43,0.0,87.5,66.67,0.0,80.0
408,Ramon,Sabah,3528,17,3,35.83,180,45.71,35.06,2.09,17,0.41,5,0.13,101,30.69,16.832,29.41,23.08,33.33,2.83,42.59,30.65,67.4,52.0,90.44,67.33,72.91,35.71,50.0,50.57,36.17,26.09,65.33
409,Jean Lucas,Avaí,764,3,2,38.46,175,50.0,33.33,1.77,2,0.28,0,0.0,30,26.67,10.0,13.33,0.0,18.18,4.24,55.56,34.07,82.61,71.03,89.8,87.31,87.8,72.09,42.86,75.41,53.33,30.0,92.54
