,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
70,Pedro Henrique,Internacional,3220,11,3,45.0,181,41.01,39.71,1.49,7,0.32,1,0.03,80,50.0,13.75,26.5,21.15,28.57,6.05,62.33,51.53,73.67,62.81,87.31,72.13,84.18,53.57,42.86,63.04,40.2,0.0,77.32
71,Rodrigo Pinho,Coritiba,1829,5,1,33.8,185,50.0,27.78,1.23,5,0.41,0,0.0,60,35.0,8.333,28.57,33.33,33.33,2.17,38.64,30.77,76.16,55.56,94.81,74.32,78.35,65.0,30.0,69.7,46.67,36.36,70.59
72,Marrony,Midtjylland,412,1,0,48.78,181,70.0,50.0,2.18,1,0.15,1,0.22,11,27.27,9.091,50.0,33.33,60.0,4.81,77.27,46.15,83.55,77.42,80.0,95.83,85.42,0.0,66.67,81.82,75.0,50.0,76.92
73,Héber,Seattle Sounders,1472,5,1,26.58,182,48.21,14.93,1.16,5,0.52,0,0.0,41,48.78,12.195,0.0,0.0,0.0,0.49,37.5,18.57,80.71,60.0,90.27,75.29,82.7,60.0,50.0,71.43,53.33,20.0,48.15
74,Alef Manga,Pafos,3377,17,7,39.97,190,60.0,41.98,1.55,9,0.39,0,0.0,95,49.47,17.895,38.1,33.87,44.19,3.57,50.0,36.16,74.98,62.03,91.81,72.49,80.88,55.56,30.0,62.82,51.45,24.0,82.56
75,André Silva,Vitória Guimarães,2837,6,4,31.51,177,55.96,24.32,1.99,6,0.24,2,0.06,73,32.88,8.219,41.38,57.89,11.11,2.82,46.59,30.63,75.31,61.9,85.23,78.74,77.39,63.41,15.0,60.49,47.5,25.0,67.5
76,E. Marcondes,Bournemouth,646,5,3,48.48,182,69.57,42.86,1.95,4,0.63,0,0.0,25,56.0,20.0,16.67,16.67,16.67,1.39,50.0,40.0,68.54,57.69,93.1,65.08,74.34,50.0,25.0,57.14,17.65,20.0,76.19
77,Eduardo Sasha,Red Bull Bragantino,2517,12,4,38.07,173,53.16,31.15,1.16,11,0.31,0,0.0,51,41.18,23.529,46.67,28.57,62.5,1.72,45.65,36.87,80.09,68.02,91.77,83.42,82.46,62.26,45.45,66.67,55.36,36.0,76.25
78,Sergio Santos,Cincinnati,1165,4,2,36.76,183,61.67,35.44,1.31,4,0.5,1,0.08,29,37.93,13.793,22.22,20.0,33.33,2.86,51.35,35.04,71.89,55.1,83.87,74.24,75.89,71.43,42.86,71.43,46.67,42.86,68.0
79,Marcos Guilherme,V-Varen Nagasaki,1529,2,2,44.34,173,67.21,15.79,1.12,2,0.15,0,0.0,26,38.46,7.692,26.67,36.36,0.0,1.77,83.33,47.42,88.61,80.61,94.48,90.5,91.38,62.5,75.0,84.09,60.0,33.33,83.02
80,Léo Baptistão,Almería,1752,5,1,41.78,185,49.19,41.03,3.24,5,0.25,2,0.1,41,34.15,12.195,23.08,0.0,28.57,3.08,55.0,39.47,69.47,51.72,90.27,65.79,74.94,43.59,28.57,49.12,38.24,30.77,51.28
81,Thiago Santana,Shimizu S-Pulse,2598,13,0,35.11,184,57.53,38.39,1.84,12,0.53,2,0.07,106,33.96,12.264,28.57,35.0,12.5,3.12,50.0,29.33,78.88,69.0,91.49,78.77,81.82,69.57,30.77,80.0,56.41,23.08,77.36
82,Mateus,Al Taawon,3388,5,8,42.05,167,50.86,7.14,1.94,4,0.24,0,0.0,116,37.93,4.31,34.86,35.48,34.04,4.94,54.84,44.3,74.22,70.77,87.7,71.06,80.09,60.38,35.29,71.43,44.53,29.27,75.45
83,J. von Moos,St. Gallen,1416,3,3,43.58,181,72.09,20.0,1.53,3,0.33,0,0.0,43,25.58,6.977,47.06,50.0,46.15,6.17,56.7,41.12,76.99,68.13,80.3,79.55,79.74,58.82,30.0,77.42,61.76,36.36,85.45
84,David,São Paulo,1427,5,3,41.71,180,51.9,32.31,1.42,5,0.34,1,0.06,40,40.0,12.5,29.03,29.63,33.33,3.86,71.67,45.73,78.95,65.71,88.07,80.67,83.63,78.57,44.44,76.92,51.43,50.0,76.74
85,Lincoln,Vissel Kobe,530,2,0,30.46,180,64.71,17.86,2.38,1,0.38,0,0.0,10,60.0,20.0,0.0,0.0,0.0,3.57,38.1,26.87,84.78,67.74,100.0,81.82,86.36,60.0,0.0,70.0,33.33,0.0,54.55
86,Erik,Machida Zelvia,3206,20,10,36.11,170,52.76,22.97,1.97,18,0.37,0,0.0,60,53.33,33.333,40.0,35.14,46.43,4.01,46.85,35.45,77.27,74.83,83.13,76.26,81.45,66.67,40.0,81.67,60.0,60.0,78.75
87,Perotti,Tokyo,1252,6,0,30.73,186,44.68,31.36,1.37,5,0.41,2,0.14,28,64.29,21.429,0.0,0.0,0.0,2.23,51.61,27.04,75.91,70.0,84.62,73.33,76.78,71.43,50.0,61.11,100.0,66.67,80.0
88,Diego Lopes,Lion City Sailors FC,2451,10,11,44.24,171,64.52,29.41,1.14,9,0.43,2,0.07,72,31.94,13.889,26.32,28.0,27.27,2.9,59.49,41.71,83.89,75.95,92.52,86.79,87.15,64.81,43.48,76.06,62.86,45.0,86.39
89,Paulinho,Al Bataeh,2365,7,7,44.65,166,63.87,17.86,2.21,7,0.19,0,0.0,46,39.13,15.217,33.33,36.0,31.82,4.45,47.01,39.69,86.64,76.22,94.37,89.83,89.43,75.0,48.08,77.66,64.41,43.75,87.05
90,Matheus Vargas,Juventude,1369,1,0,41.83,181,53.25,30.67,2.43,1,0.16,0,0.0,25,20.0,4.0,29.03,30.77,27.78,3.62,65.45,46.9,76.36,58.68,93.59,80.27,84.23,39.47,25.0,61.33,39.02,23.53,71.7
91,Thiago Galhardo,Fortaleza,4039,20,5,37.8,183,48.39,28.19,2.02,18,0.42,5,0.11,122,43.44,16.393,29.03,20.0,33.33,2.72,57.5,42.25,73.17,54.26,90.34,77.78,76.67,41.18,30.23,63.28,54.22,20.0,69.67
92,Alex Teixeira,Vasco da Gama,2212,5,5,43.69,174,52.69,34.0,1.55,5,0.32,3,0.12,46,45.65,10.87,68.42,64.71,100.0,2.85,51.43,45.16,86.86,73.74,93.97,90.54,88.49,50.0,66.67,86.36,60.61,50.0,76.0
