,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
39,Rodrigão,Zenit,"RCB, CB",28,4000000,2025-06-30,14,1148,0,0.19,Brazil,Brazil,direito,191,97,sim
40,Fabricio Bruno,Flamengo,RCB,27,3500000,2025-12-31,58,5600,3,3.42,Brazil,Brazil,direito,192,90,sim
41,Willyan Rocha,CSKA Moskva,"CB, RCB",28,3500000,2025-06-30,38,3521,2,3.36,Brazil,"Brazil, Italy",direito,191,90,sim
42,Raul Gustavo,Bahia,LCB,24,3500000,2024-12-31,19,1451,0,1.07,Brazil,Brazil,esquerdo,189,87,sim
43,Kanu,Bahia,"RCB, LCB",26,3500000,2023-12-31,44,4185,1,1.95,Brazil,Brazil,direito,186,80,sim
44,Léo,Vasco da Gama,LCB,27,3500000,2025-12-31,44,4467,1,1.44,Brazil,Brazil,esquerdo,183,76,sim
45,Thiago Martins,New York City,RCB,28,3500000,2025-12-31,29,2708,0,0.98,Brazil,Brazil,direito,185,78,sim
46,André Ramalho,PSV,RCB,31,3500000,2024-06-30,45,3605,1,4.43,Brazil,"Brazil, Italy",direito,182,78,sim
47,Léo Duarte,İstanbul Başakşehir,"RCB, LCB",27,3200000,2026-06-30,38,3703,0,1.09,Brazil,Brazil,direito,183,76,sim
48,Felipe,Nottingham Forest,"CB, LCB, RCB",34,3000000,2024-06-30,19,1746,0,2.01,Brazil,Brazil,direito,190,83,sim
50,Zé Ivaldo,Athletico Paranaense,"RCB, LCB",26,3000000,2023-12-31,36,3141,2,2.4,Brazil,Brazil,direito,185,78,sim
51,Moisés,CSKA Moskva,"LCB, CB",28,3000000,2024-12-31,37,3401,2,2.71,Brazil,Brazil,esquerdo,184,89,sim
52,Pablo,Flamengo,"LCB, RCB",32,3000000,2025-12-31,17,1350,0,0.75,Brazil,Brazil,direito,188,85,sim
53,Lucas Halter,Goiás,RCB,23,3000000,2024-07-31,49,4705,6,2.61,Brazil,Brazil,direito,188,93,sim
54,Fernando,Sevilla,"RDMF, CB, LCMF",36,3000000,2024-06-30,37,2793,0,0.47,Brazil,"Brazil, Portugal",direito,183,76,sim
55,Pedro Henrique,Athletico Paranaense,RCB,28,3000000,2024-12-31,29,2758,1,1.65,Brazil,Brazil,direito,188,82,sim
56,Rodrigo Ely,Grêmio,"RCB, CB",29,3000000,2024-06-30,32,2896,0,0.9,Brazil,"Brazil, Italy",direito,191,91,sim
57,Igor Rabello,Atlético Mineiro,RCB,28,3000000,2025-12-31,8,586,0,0.0,Brazil,Brazil,direito,190,90,sim
58,Gabriel Paulista,Valencia,"LCB, RCB",32,3000000,2024-06-30,22,1973,0,0.16,Brazil,"Brazil, Spain",direito,187,72,sim
59,Adryelson,Botafogo,RCB,25,3000000,2025-12-31,55,5211,4,4.32,Brazil,Brazil,direito,182,74,sim
60,Gláuber,Al Nasr,LCB,23,3000000,2025-06-30,31,3083,0,1.67,Brazil,Brazil,esquerdo,0,0,sim
61,Lucas Fasson,Lokomotiv Moskva,LCB,22,2500000,2026-06-30,16,1483,0,0.73,Brazil,"Brazil, Italy",esquerdo,187,78,sim
62,Beraldo,São Paulo,LCB,19,2500000,2026-06-30,41,3949,1,1.65,Brazil,Brazil,direito,182,77,sim
63,Iago Maidana,América Mineiro,"LCB, CB, RCB",27,2500000,2023-12-31,47,4145,0,2.53,Brazil,Brazil,direito,195,91,sim
64,Alexsandro Ribeiro,Lille,LCB,24,2500000,2026-06-30,30,2659,2,2.22,Brazil,Brazil,direito,189,82,sim
65,Robson,Vasco da Gama,"RCB, RB",25,2500000,2025-06-30,19,1605,0,0.24,Brazil,Brazil,direito,185,74,sim
66,Lucas Cunha,Red Bull Bragantino,RCB,26,2500000,2026-12-31,21,1823,2,0.92,Brazil,"Brazil, Portugal",direito,186,77,sim
67,Luan,Palmeiras,"RCB, LCB",30,2500000,2024-12-31,38,3464,1,2.15,Brazil,Brazil,direito,189,79,sim
68,Marcelo Benevenuto,Fortaleza,"RCB, CB",27,2500000,2026-12-31,36,3111,1,1.21,Brazil,Brazil,direito,180,73,sim
69,Thiago Silva,Chelsea,"LCB, RCB, CB",39,2500000,2024-06-30,35,3322,0,2.09,Brazil,"Brazil, France",direito,181,79,sim
70,Bernardo,Bochum,"LB, LCB",28,2500000,2024-06-30,23,2158,0,2.55,Brazil,Brazil,esquerdo,186,76,sim
71,Gustavo Henrique,Real Valladolid,"LCB, RCB, CB",30,2400000,2023-12-31,15,1141,2,1.35,Brazil,Brazil,direito,194,86,sim
72,Gabriel Noga,Flamengo,RCB,21,2000000,2024-12-31,2,104,0,0.0,Brazil,Brazil,direito,183,72,sim
73,Lucas Ribeiro,Ceará,"LCB, RCB",24,2000000,2024-06-30,5,431,0,0.0,Brazil,Brazil,direito,190,80,sim
74,Rodrigo Caio,Flamengo,"CB, RCB",30,2000000,2023-12-31,9,685,0,0.33,Brazil,"Brazil, Italy",direito,183,74,sim
75,Henri,North Texas,"LCB, RCB",21,2000000,2025-12-31,38,3561,3,1.46,Brazil,Brazil,direito,187,73,sim
76,Antônio Carlos,Orlando City,RCB,30,2000000,2023-12-31,22,1886,1,1.59,Brazil,Brazil,direito,190,79,sim
77,Lucas Oliveira,Cruzeiro,RCB,27,2000000,2025-12-31,30,2929,2,0.69,Brazil,Brazil,direito,187,83,sim
78,Jubal,Auxerre,"RCB, CB",30,2000000,2025-06-30,37,3397,4,4.31,Brazil,Brazil,direito,190,77,sim
79,Rodrigo Guth,Fortuna Sittard,"RCB, LCB",22,2000000,2027-06-30,32,3115,0,1.41,Brazil,"Brazil, Germany",direito,191,79,sim
80,Jemerson,Atlético Mineiro,LCB,31,2000000,2024-12-31,50,4619,0,1.76,Brazil,"Brazil, Monaco",direito,184,77,sim
81,Kaio,Krasnodar,RCB,28,2000000,2024-06-30,24,2206,2,1.59,Brazil,Brazil,direito,186,80,sim
82,Riccieli,Famalicão,RCB,25,2000000,2027-06-30,39,3751,1,1.69,Brazil,Brazil,direito,184,80,sim
83,Bruno Fuchs,Atlético Mineiro,"RCB, RB",24,1800000,2025-06-30,26,2166,0,0.5,Brazil,Brazil,direito,190,85,sim
84,Bruno Viana,Al Hazem,"LCB, RCB",28,1800000,2025-12-31,39,3647,1,0.91,Brazil,Brazil,direito,186,85,sim
85,Arthur Chaves,Academico Viseu,"LCB, RCB",22,1750000,2027-06-30,31,2972,0,2.24,Brazil,Brazil,direito,188,81,sim
86,Matheus Thuler,Vissel Kobe,"LCB, RCB",24,1600000,2025-01-31,26,1693,1,1.61,Brazil,Brazil,direito,186,83,sim
87,Wesley Gasolina,Cruzeiro,"RB, RAMF, RCB",23,1500000,2024-12-31,5,332,0,0.03,Brazil,Brazil,direito,177,66,sim
88,Éder,América Mineiro,"LCB, RCB",28,1500000,2024-12-31,43,3552,2,1.08,Brazil,Brazil,direito,184,82,sim
89,Rodrigues,SJ Earthquakes,"LCB, RCB",26,1500000,2024-12-31,38,3694,1,3.67,Brazil,Brazil,direito,188,78,sim
90,Pedrão,Portimonense,"RCB, CB",26,1500000,2027-06-30,33,3117,2,2.04,Brazil,Brazil,direito,194,87,sim
91,Busanello,Malmö FF,"LB, LCB",25,1500000,2027-12-31,33,2940,1,2.06,Brazil,Brazil,esquerdo,180,75,sim
92,Yuri Matias,Neftchi,RCB,28,1500000,2024-06-30,41,3960,5,4.02,Brazil,Brazil,direito,186,76,sim
93,V. Cuesta,Botafogo,LCB,34,1500000,2024-12-31,58,5677,4,2.98,Argentina,"Argentina, Brazil",esquerdo,187,84,sim
95,Iago Santos,Al Shabab,"RCB, LCB",31,1200000,2024-06-30,34,3540,2,2.61,Brazil,Brazil,direito,188,85,sim
96,Roderick Miranda,Melbourne Victory,LCB,32,1200000,2025-06-30,19,1750,0,1.04,Portugal,"Portugal, Brazil",direito,191,85,sim
97,Wallace,Al Ittihad Kalba,"LCB, RCB",29,1200000,2023-12-31,21,1727,1,0.95,Brazil,Brazil,direito,191,83,sim
98,Léo Santos,Ceará,"RCB, LCB, DMF",24,1200000,2023-12-31,27,2129,2,2.36,Brazil,Brazil,direito,186,80,sim
99,Matheus Felipe,Athletico Paranaense,"LCB, RCB",24,1200000,2026-12-31,17,1220,0,0.23,Brazil,Brazil,direito,186,84,sim
100,Ignácio,Sporting Cristal,"LCB, RCB, CB",26,1200000,2025-12-31,44,4371,5,5.16,Brazil,Brazil,direito,190,92,sim
101,Victor Luís,Coritiba,"LB, LCB",30,1200000,2024-12-31,38,2915,3,1.62,Brazil,"Brazil, Lithuania",esquerdo,177,81,sim
103,Walce,São Paulo,"LCB, RB",24,1000000,2023-12-31,8,348,1,0.35,Brazil,Brazil,direito,188,79,sim
104,Kaique Rocha,Athletico Paranaense,CB,22,1000000,2026-12-31,8,554,1,0.36,Brazil,Brazil,direito,195,87,sim
105,Reynaldo,Coritiba,"LCB, CB",26,1000000,2025-11-30,17,1396,0,0.16,Brazil,Brazil,esquerdo,186,81,sim
106,Gil,Corinthians,"RCB, LCB",36,1000000,2023-12-31,58,5647,4,5.02,Brazil,Brazil,direito,192,87,sim
