,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
140,Adler,Stal Rzeszów,CF,24,225000,2026-06-30,17,1179,4,5.02,Switzerland,"Switzerland, Brazil",direito,187,84,sim
142,Kelvin,Ryūkyū,"CF, RW",30,225000,2024-01-31,23,1344,2,2.28,Brazil,Brazil,esquerdo,175,71,sim
144,R. Ramires,FK Auda,CF,22,225000,2025-12-31,39,2460,14,15.16,Brazil,Brazil,direito,178,70,sim
146,A. Becker,Viktoria Köln,CF,27,225000,2024-06-30,33,1387,8,5.86,Brazil,"Brazil, Germany",esquerdo,197,92,sim
147,Marcus Índio,Imabari,"CF, RW, RWF",25,225000,2024-01-31,33,2851,9,12.51,Brazil,Brazil,esquerdo,173,69,sim
149,David da Silva,Persib,CF,33,225000,2023-12-30,39,3511,26,21.59,Brazil,Brazil,direito,185,0,sim
150,Everton Nascimento,PSM,CF,30,225000,2024-01-20,43,3368,7,10.71,Brazil,Brazil,direito,186,78,sim
160,Álvaro,América RN,CF,25,200000,2023-12-31,16,854,4,4.61,Brazil,Brazil,direito,185,75,sim
161,Guilherme Santos,Avaí,"CF, AMF, RW",22,200000,2024-12-31,2,75,0,0.0,Brazil,Brazil,esquerdo,181,76,sim
173,Gerson Magrão,Botafogo PB,"CF, LCMF",38,200000,2024-04-30,22,1215,2,1.03,Brazil,Brazil,esquerdo,181,78,sim
175,Pimentinha,Sampaio Corrêa,"RAMF, RW, RWF",36,200000,2023-12-31,27,2229,1,3.27,Brazil,Brazil,esquerdo,165,62,sim
177,Kayke,Chapecoense,"CF, RW",35,200000,2023-12-31,27,1373,2,4.38,Brazil,Brazil,direito,182,80,sim
180,Victor Andrade,Juventude,"LW, LAMF, CF",28,200000,2023-12-31,15,619,0,1.11,Brazil,Brazil,direito,178,72,sim
182,Élton,Remo,CF,38,200000,2023-12-31,11,531,3,2.77,Brazil,Brazil,esquerdo,185,84,sim
187,Michael Thuique,Hegelmann Litauen,CF,30,200000,2023-12-31,26,1334,5,6.04,Brazil,Brazil,direito,180,74,sim
188,Cassiano,Estoril,CF,34,200000,2024-06-30,35,2558,9,8.47,Brazil,Brazil,direito,184,80,sim
189,Nick Firmino,Atlanta United II,"AMF, CF",22,200000,2023-12-31,28,2504,17,8.35,Brazil,"Brazil, United States",direito,180,70,sim
191,Nenê,Juventude,"CF, AMF",42,200000,2023-11-30,39,2847,10,8.35,Brazil,"Brazil, Spain",esquerdo,181,74,sim
194,Diego Quirino,Ituano,CF,30,200000,2023-12-31,47,2618,7,7.87,Brazil,Brazil,direito,180,79,sim
195,Éder,Criciúma,CF,36,200000,2023-11-30,34,2731,9,9.58,Brazil,"Brazil, Italy",direito,179,78,sim
196,Élder Santana,Aktobe,CF,30,200000,2023-12-31,33,2733,6,7.86,Brazil,Brazil,direito,186,88,sim
197,Renato,CRB,"LAMF, LW, LWF",33,200000,2023-12-31,47,3754,18,8.56,Brazil,Brazil,direito,181,65,sim
198,Ricardo Santos,Uthai Thani,CF,36,200000,2024-05-31,38,3823,31,23.18,Brazil,Brazil,direito,189,80,sim
201,Dé,Mariehamn,"CF, LWF, LAMF",25,200000,2024-12-31,29,2103,3,7.94,Brazil,Brazil,direito,177,75,sim
203,L. Lima,Helsingborg,CF,21,200000,2025-12-31,27,1588,3,7.11,Sweden,"Sweden, Brazil",direito,189,79,sim
204,João Marcos,Santa Clara,CF,23,200000,2025-06-30,32,2009,7,8.65,Brazil,Brazil,direito,180,77,sim
205,Rafael Martins,Santa Clara,CF,34,200000,2024-06-30,31,1856,7,6.22,Brazil,Brazil,direito,177,73,sim
206,Rafael Silva,Sri Pahang,CF,33,200000,2023-11-30,30,1793,9,7.84,Brazil,Brazil,direito,176,68,sim
207,Lucas Tocantins,São Bernardo FC,"RW, LW, LWF",29,200000,2024-04-10,24,1472,3,1.9,Brazil,Brazil,direito,180,76,sim
208,Wellington Paulista,América Mineiro,CF,39,200000,2023-12-31,29,1029,7,8.74,Brazil,"Brazil, Spain",direito,180,80,sim
209,Felipe Azevedo,América Mineiro,"LW, CF, LAMF",36,200000,2023-12-31,50,3101,7,5.83,Brazil,"Brazil, Italy",direito,172,75,sim
210,Derek,Guarani,CF,25,200000,2025-11-30,35,2261,9,6.38,Brazil,Brazil,esquerdo,185,80,sim
211,Osman,Botafogo SP,"CF, AMF, LW",31,200000,2023-12-15,44,3473,5,6.02,Brazil,Brazil,direito,179,72,sim
212,Marcos Júnior,Botafogo SP,"CF, LW, RCMF",23,200000,2024-04-30,4,93,1,0.12,Brazil,Brazil,direito,170,67,sim
216,Mateus Lima,Nasaf,CF,30,200000,2023-12-31,27,1778,5,2.47,Brazil,Brazil,direito,187,82,sim
219,Lucão,Fagiano Okayama,CF,28,200000,2024-01-31,30,1285,1,3.94,Brazil,Brazil,direito,191,91,sim
220,Yuri Araújo,Academico Viseu,"RW, RAMF, RWF",27,200000,2025-06-30,32,1645,4,4.15,Brazil,Brazil,esquerdo,170,66,sim
221,Caio Dantas,Vila Nova,CF,30,200000,2024-12-30,39,2586,8,7.92,Brazil,Brazil,direito,177,72,sim
222,Anselmo Ramon,CRB,CF,35,200000,2023-12-31,52,4496,15,13.99,Brazil,Brazil,direito,182,77,sim
223,Gustavo Tocantins,Barito Putera,CF,27,200000,2024-01-20,38,3583,16,16.5,Brazil,Brazil,ambos,179,66,sim
226,João Magno,Goiás,CF,26,200000,2024-06-30,35,2697,13,11.45,Brazil,Brazil,esquerdo,195,83,sim
227,Ronivaldo,Blau-Weiß Linz,"CF, AMF",34,200000,2024-06-30,30,2252,20,16.85,Brazil,Brazil,direito,173,73,sim
231,Hygor,Criciúma,"CF, RAMF, RW",31,200000,2024-12-31,25,1302,5,3.66,Brazil,Brazil,direito,186,78,sim
233,Alan Grafite,Binh Dinh,"RW, LW, CF",25,200000,2023-12-31,23,954,1,1.81,Brazil,Brazil,direito,189,78,sim
238,Patric,Kyoto Sanga,CF,36,200000,2024-01-31,33,1514,10,8.14,Brazil,Brazil,direito,189,82,sim
241,Matheus Alves,Lahti,CF,30,200000,2023-12-31,27,2028,7,8.25,Brazil,"Brazil, Italy",direito,188,92,sim
242,Magno Cruz,Jiangxi Lushan,"CF, RW, RWF",35,200000,2023-12-31,36,3267,9,8.35,Brazil,Brazil,direito,178,77,sim
246,Adílio Santos,Penafiel,CF,30,200000,2024-06-30,15,976,3,4.12,Brazil,Brazil,direito,178,73,sim
248,Galego,Gangwon,"RW, RWF, CF",26,175000,2024-06-30,32,1710,4,6.01,Brazil,Brazil,esquerdo,176,71,sim
249,Luís Mota,Porto II,CF,20,175000,2025-06-30,10,259,0,0.56,Portugal,"Portugal, Brazil",direito,183,76,sim
250,Juninho,Inter de Limeira,"AMF, CF, RW",28,175000,2024-04-10,13,863,1,0.89,Brazil,Brazil,direito,170,72,sim
